CCN,critical_access,teaching_status,urban_rural,referral_center,num_beds,type_of_service,state_code,ownership_type_simple,bed_size_simple
334022,Not Critical Access,Non Teaching,Urban,Non Referral Center,88,Psychiatric,NA,Proprietary,Small
334049,Not Critical Access,Non Teaching,Urban,Non Referral Center,88,Psychiatric,NA,Proprietary,Small
340049,Not Critical Access,Non Teaching,Urban,Non Referral Center,18,General Short Term,TN,Proprietary,Small
360013,Not Critical Access,Non Teaching,Rural,Non Referral Center,44,General Short Term,NA,Nonprofit,Small
360079,Not Critical Access,Teaching,Rural,Referral Center,383,General Short Term,OH,Nonprofit,Medium
360132,Not Critical Access,Non Teaching,Urban,Non Referral Center,138,General Short Term,OH,Nonprofit,Small
360133,Not Critical Access,Teaching,Rural,Referral Center,317,General Short Term,OH,Nonprofit,Medium
360239,Not Critical Access,Teaching,Rural,Referral Center,168,General Short Term,OH,Nonprofit,Medium
360360,Not Critical Access,Teaching,Rural,Referral Center,120,General Short Term,OH,Nonprofit,Small
364066,Not Critical Access,Non Teaching,Urban,Non Referral Center,23,Psychiatric,NA,Proprietary,Small
394057,Not Critical Access,Non Teaching,Urban,Non Referral Center,54,Psychiatric,NA,Proprietary,Small
400115,Not Critical Access,Non Teaching,Urban,Non Referral Center,100,General Short Term,NA,Proprietary,Small
400130,Not Critical Access,Non Teaching,Urban,Non Referral Center,NA,General Short Term,NA,Proprietary,NA
503301,NA,NA,NA,NA,NA,General Short Term,NA,Nonprofit,NA
150035,Not Critical Access,Non Teaching,Rural,Referral Center,199,General Short Term,TN,Proprietary,Medium
190008,Not Critical Access,Teaching,Urban,Referral Center,139,General Short Term,NA,Governmental,Small
320038,Not Critical Access,Teaching,Rural,Non Referral Center,50,General Short Term,NA,Nonprofit,Small
390307,Not Critical Access,Non Teaching,Urban,Non Referral Center,10,General Short Term,NA,Proprietary,Small
520087,Not Critical Access,Teaching,Rural,Referral Center,260,General Short Term,WI,Nonprofit,Medium
670266,Not Critical Access,Non Teaching,Urban,Non Referral Center,5,General Short Term,NA,Proprietary,Small
54159,Not Critical Access,Non Teaching,Urban,Non Referral Center,117,Psychiatric,MI,Proprietary,Small
83027,Not Critical Access,Non Teaching,Urban,Non Referral Center,34,Rehabilitation,PA,Proprietary,Small
104084,Not Critical Access,Non Teaching,Urban,Non Referral Center,42,Psychiatric,NA,Proprietary,Small
110115,Not Critical Access,Teaching,Urban,Non Referral Center,466,General Short Term,GA,Nonprofit,Large
171321,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
281340,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,NA,Governmental,Small
334002,Not Critical Access,Non Teaching,Urban,Non Referral Center,175,Psychiatric,NY,Proprietary,Medium
373035,Not Critical Access,Non Teaching,Urban,Non Referral Center,53,Rehabilitation,PA,Proprietary,Small
374021,Not Critical Access,Non Teaching,Urban,Non Referral Center,120,Psychiatric,NA,Nonprofit,Small
454126,Not Critical Access,Non Teaching,Urban,Non Referral Center,116,Psychiatric,MI,Proprietary,Small
464012,Not Critical Access,Non Teaching,Urban,Non Referral Center,12,Psychiatric,CA,Proprietary,Small
514001,Not Critical Access,Non Teaching,Urban,Non Referral Center,115,Psychiatric,TN,Nonprofit,Small
670090,Not Critical Access,Non Teaching,Urban,Non Referral Center,84,General Short Term,NA,Proprietary,Small
100256,Not Critical Access,Teaching,Urban,Referral Center,290,General Short Term,TN,Proprietary,Medium
140208,Not Critical Access,Teaching,Urban,Non Referral Center,711,General Short Term,IL,Nonprofit,Large
141333,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,NA,Governmental,Small
150133,Not Critical Access,Non Teaching,Rural,Referral Center,72,General Short Term,TN,Proprietary,Small
150172,Not Critical Access,Non Teaching,Urban,Non Referral Center,10,General Short Term,NA,Proprietary,Small
154054,Not Critical Access,Non Teaching,Urban,Non Referral Center,81,Psychiatric,NA,Proprietary,Small
194083,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Psychiatric,NA,Proprietary,Small
241300,Critical Access,Non Teaching,Rural,Non Referral Center,10,General Short Term,NA,Nonprofit,Small
244016,NA,NA,NA,NA,NA,Psychiatric,NA,Proprietary,NA
504009,Not Critical Access,Non Teaching,Urban,Non Referral Center,70,Psychiatric,NA,Nonprofit,Small
520071,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
193300,Not Critical Access,Teaching,Urban,Non Referral Center,189,Children,LA,Nonprofit,Medium
230264,Not Critical Access,Non Teaching,Urban,Non Referral Center,13,General Short Term,NA,Proprietary,Small
400133,Not Critical Access,Non Teaching,Urban,Non Referral Center,58,General Short Term,NA,Proprietary,Small
453302,Not Critical Access,Teaching,Urban,Non Referral Center,377,Children,TX,Nonprofit,Medium
100150,Not Critical Access,Non Teaching,Rural,Referral Center,99,General Short Term,TN,Proprietary,Small
141341,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,NA,Nonprofit,Small
171368,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,NA,Governmental,Small
224038,Not Critical Access,Non Teaching,Urban,Non Referral Center,51,Psychiatric,NA,Proprietary,Small
241306,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,MN,Nonprofit,Small
250163,Not Critical Access,Non Teaching,Rural,Non Referral Center,19,General Short Term,NA,Proprietary,Small
281324,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,NA,Governmental,Small
330166,Not Critical Access,Non Teaching,Rural,Non Referral Center,4,General Short Term,NA,Nonprofit,Small
330411,Not Critical Access,Non Teaching,Urban,Non Referral Center,33,General Short Term,NY,Nonprofit,Small
500052,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,General Short Term,CA,Nonprofit,Small
504016,Not Critical Access,Non Teaching,Urban,Non Referral Center,72,Psychiatric,NA,Nonprofit,Small
521331,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
670062,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Short Term,TX,Proprietary,Small
14018,Not Critical Access,Non Teaching,Urban,Non Referral Center,20,Psychiatric,TN,Proprietary,Small
100204,Not Critical Access,Teaching,Urban,Non Referral Center,462,General Short Term,TN,Proprietary,Large
100248,Not Critical Access,Teaching,Rural,Non Referral Center,245,General Short Term,TN,Proprietary,Medium
140103,Not Critical Access,Teaching,Urban,Non Referral Center,114,General Short Term,NA,Nonprofit,Small
140252,Not Critical Access,Non Teaching,Urban,Non Referral Center,424,General Short Term,NA,Nonprofit,Large
450713,Not Critical Access,Teaching,Urban,Non Referral Center,340,General Short Term,TN,Proprietary,Medium
103051,Not Critical Access,Teaching,Urban,Non Referral Center,80,Rehabilitation,TN,Proprietary,Small
112003,Not Critical Access,Non Teaching,Urban,Non Referral Center,130,General Long Term,NA,Nonprofit,Small
294014,Not Critical Access,Non Teaching,Urban,Non Referral Center,19,Psychiatric,NA,Proprietary,Small
440184,Not Critical Access,Non Teaching,Urban,Non Referral Center,80,General Short Term,TN,Nonprofit,Small
443038,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,TN,Proprietary,Small
30152,Not Critical Access,Non Teaching,Urban,Non Referral Center,9,General Short Term,NA,Proprietary,Small
190036,Not Critical Access,Teaching,Urban,Non Referral Center,1024,General Short Term,LA,Nonprofit,Large
194117,Not Critical Access,Non Teaching,Urban,Non Referral Center,36,Psychiatric,NA,Proprietary,Small
260070,Not Critical Access,Non Teaching,Rural,Non Referral Center,42,General Short Term,NA,Governmental,Small
351332,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
451338,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,OK,Proprietary,Small
521332,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
64028,Not Critical Access,Non Teaching,Urban,Non Referral Center,96,Psychiatric,KY,Proprietary,Small
193050,Not Critical Access,Non Teaching,Rural,Non Referral Center,20,Rehabilitation,NM,Proprietary,Small
360041,Not Critical Access,Teaching,Urban,Non Referral Center,190,General Short Term,OH,Nonprofit,Medium
364050,Not Critical Access,Non Teaching,Urban,Non Referral Center,36,Psychiatric,NA,Proprietary,Small
53311,NA,NA,NA,NA,NA,Children,NA,Nonprofit,NA
123301,NA,NA,NA,NA,NA,Children,NA,Proprietary,NA
141328,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
154068,Not Critical Access,Non Teaching,Urban,Non Referral Center,31,Psychiatric,IN,Proprietary,Small
182008,Not Critical Access,Non Teaching,Rural,Non Referral Center,37,General Long Term,TX,Nonprofit,Small
280139,Not Critical Access,Non Teaching,Rural,Non Referral Center,60,General Short Term,NE,Nonprofit,Small
330354,Not Critical Access,Teaching,Urban,Non Referral Center,142,Cancer,NA,Governmental,Small
360125,Not Critical Access,Non Teaching,Rural,Non Referral Center,105,General Short Term,NA,Nonprofit,Small
363305,Not Critical Access,Teaching,Urban,Non Referral Center,694,Children,OH,Nonprofit,Large
100238,Not Critical Access,Teaching,Rural,Non Referral Center,230,General Short Term,TN,Proprietary,Medium
141334,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IL,Nonprofit,Small
241353,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
261302,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
383300,NA,NA,NA,NA,NA,Rehabilitation,NA,Proprietary,NA
52044,Not Critical Access,Non Teaching,Urban,Non Referral Center,110,General Long Term,PA,Proprietary,Small
102031,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,General Long Term,PA,Proprietary,Small
112013,Not Critical Access,Non Teaching,Urban,Non Referral Center,80,General Long Term,PA,Proprietary,Small
190184,Not Critical Access,Non Teaching,Rural,Non Referral Center,40,General Short Term,NA,Governmental,Small
271320,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
362031,Not Critical Access,Non Teaching,Urban,Non Referral Center,35,General Long Term,PA,Proprietary,Small
370112,Not Critical Access,Non Teaching,Urban,Non Referral Center,41,General Short Term,NA,Governmental,Small
450489,Not Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NA,Governmental,Small
450662,Not Critical Access,Non Teaching,Urban,Non Referral Center,187,General Short Term,TN,Proprietary,Medium
450885,Not Critical Access,Non Teaching,Urban,Non Referral Center,118,General Short Term,TX,Nonprofit,Small
501318,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,NA,Governmental,Small
40051,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
51333,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
51993,Not Critical Access,Non Teaching,Urban,Non Referral Center,13,Religious Non Medical Healthcare,NA,Nonprofit,Small
54156,Not Critical Access,Non Teaching,Urban,Non Referral Center,12,Psychiatric,NA,Nonprofit,Small
70031,Not Critical Access,Teaching,Rural,Referral Center,101,General Short Term,NA,Nonprofit,Small
250093,Not Critical Access,Non Teaching,Rural,Non Referral Center,152,General Short Term,KY,Proprietary,Medium
281348,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
332006,Not Critical Access,Non Teaching,Urban,Non Referral Center,225,Extended Neoplastic Disease Care,NA,Nonprofit,Medium
371326,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,TN,Proprietary,Small
450651,Not Critical Access,Teaching,Urban,Non Referral Center,573,General Short Term,TN,Proprietary,Large
452035,Not Critical Access,Non Teaching,Urban,Non Referral Center,32,General Long Term,NA,Proprietary,Small
510012,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
51336,Critical Access,Non Teaching,Urban,Non Referral Center,13,General Short Term,NA,Nonprofit,Small
61307,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
61336,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
63038,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,NA,Proprietary,Small
110132,Not Critical Access,Non Teaching,Rural,Non Referral Center,80,General Short Term,NA,Governmental,Small
111325,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
112012,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,General Long Term,NA,Proprietary,Small
181314,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KY,Nonprofit,Small
181318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KY,Nonprofit,Small
181324,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KY,Nonprofit,Small
400011,Not Critical Access,Non Teaching,Urban,Non Referral Center,73,General Short Term,NA,Nonprofit,Small
444019,Not Critical Access,Non Teaching,Urban,Non Referral Center,26,Psychiatric,TN,Proprietary,Small
444021,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,Psychiatric,TN,Proprietary,Small
444024,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,Psychiatric,TN,Proprietary,Small
444031,Not Critical Access,Non Teaching,Urban,Non Referral Center,64,Psychiatric,NA,Proprietary,Small
451348,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,NA,Governmental,Small
454129,Not Critical Access,Non Teaching,Urban,Non Referral Center,118,Psychiatric,MI,Proprietary,Small
670134,Not Critical Access,Non Teaching,Urban,Non Referral Center,4,General Short Term,NA,Proprietary,Small
10036,Not Critical Access,Non Teaching,Rural,Non Referral Center,83,General Short Term,KY,Proprietary,Small
10085,Not Critical Access,Non Teaching,Rural,Non Referral Center,310,General Short Term,AL,Governmental,Medium
10100,Not Critical Access,Teaching,Urban,Referral Center,164,General Short Term,AL,Governmental,Medium
10113,Not Critical Access,Teaching,Urban,Non Referral Center,498,General Short Term,AL,Nonprofit,Large
10129,Not Critical Access,Non Teaching,Urban,Non Referral Center,58,General Short Term,AL,Nonprofit,Small
10157,Not Critical Access,Non Teaching,Rural,Non Referral Center,53,General Short Term,TN,Proprietary,Small
12006,Not Critical Access,Non Teaching,Urban,Non Referral Center,31,General Long Term,AL,Nonprofit,Small
34024,Not Critical Access,Non Teaching,Urban,Non Referral Center,100,Psychiatric,MI,Proprietary,Small
34028,Not Critical Access,Non Teaching,Urban,Non Referral Center,138,Psychiatric,MI,Proprietary,Small
34034,Not Critical Access,Non Teaching,Urban,Non Referral Center,90,Psychiatric,NA,Proprietary,Small
110135,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
111302,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
130073,NA,NA,NA,NA,NA,General Short Term,NA,Proprietary,NA
264032,Not Critical Access,Non Teaching,Urban,Non Referral Center,80,Psychiatric,TN,Proprietary,Small
330405,Not Critical Access,Teaching,Urban,Non Referral Center,NA,General Short Term,NA,Governmental,NA
370083,Not Critical Access,Non Teaching,Rural,Non Referral Center,42,General Short Term,NA,Governmental,Small
392036,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Long Term,PA,Proprietary,Small
440156,Not Critical Access,Non Teaching,Urban,Non Referral Center,396,General Short Term,TN,Proprietary,Medium
440176,Not Critical Access,Teaching,Urban,Non Referral Center,35,General Short Term,TN,Nonprofit,Small
444007,Not Critical Access,Non Teaching,Urban,Non Referral Center,130,Psychiatric,PA,Proprietary,Small
494023,Not Critical Access,Non Teaching,Urban,Non Referral Center,116,Psychiatric,TN,Proprietary,Small
41328,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
61305,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
110153,Not Critical Access,Non Teaching,Urban,Non Referral Center,39,General Short Term,NA,Proprietary,Small
150191,Not Critical Access,Non Teaching,Urban,Non Referral Center,8,General Short Term,NA,Nonprofit,Small
190204,Not Critical Access,Non Teaching,Urban,Non Referral Center,150,General Short Term,LA,Nonprofit,Medium
370149,Not Critical Access,Non Teaching,Rural,Referral Center,57,General Short Term,NA,Nonprofit,Small
40001,Not Critical Access,Non Teaching,Urban,Non Referral Center,64,General Short Term,TN,Proprietary,Small
72004,Not Critical Access,Non Teaching,Urban,Non Referral Center,226,General Long Term,NA,Nonprofit,Medium
140011,Not Critical Access,Non Teaching,Rural,Non Referral Center,85,General Short Term,IL,Nonprofit,Small
140068,Not Critical Access,Non Teaching,Urban,Non Referral Center,134,General Short Term,NA,Nonprofit,Small
140164,Not Critical Access,Teaching,Urban,Referral Center,175,General Short Term,IL,Nonprofit,Medium
140177,Not Critical Access,Teaching,Urban,Non Referral Center,109,General Short Term,NA,Nonprofit,Small
140234,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,ND,Nonprofit,Small
141324,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IL,Nonprofit,Small
191305,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
370015,Not Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,TN,Proprietary,Small
503302,NA,NA,NA,NA,NA,Rehabilitation,NA,Proprietary,NA
521336,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WI,Nonprofit,Small
523029,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,NA,Proprietary,Small
670124,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,General Short Term,TX,Proprietary,Small
490110,Not Critical Access,Teaching,Urban,Non Referral Center,92,General Short Term,TN,Proprietary,Small
30114,Not Critical Access,Non Teaching,Rural,Non Referral Center,96,General Short Term,TN,Proprietary,Small
141323,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
170199,Not Critical Access,Non Teaching,Urban,Non Referral Center,7,General Short Term,NA,Proprietary,Small
182009,Not Critical Access,Non Teaching,Rural,Non Referral Center,35,General Long Term,TX,Nonprofit,Small
194105,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,Psychiatric,NA,Proprietary,Small
360058,Not Critical Access,Non Teaching,Rural,Non Referral Center,42,General Short Term,NA,Governmental,Small
363041,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Rehabilitation,PA,Proprietary,Small
364052,Not Critical Access,Non Teaching,Urban,Non Referral Center,52,Psychiatric,OH,Proprietary,Small
364057,Not Critical Access,Non Teaching,Urban,Non Referral Center,44,Psychiatric,OH,Proprietary,Small
364061,Not Critical Access,Non Teaching,Urban,Non Referral Center,80,Psychiatric,OH,Proprietary,Small
364064,Not Critical Access,Non Teaching,Urban,Non Referral Center,72,Psychiatric,OH,Proprietary,Small
390323,Not Critical Access,Non Teaching,Urban,Non Referral Center,14,General Short Term,AL,Proprietary,Small
400013,Not Critical Access,Non Teaching,Urban,Non Referral Center,225,General Short Term,NA,Nonprofit,Medium
400048,Not Critical Access,Non Teaching,Urban,Non Referral Center,134,General Short Term,NA,Nonprofit,Small
400104,Not Critical Access,Non Teaching,Urban,Non Referral Center,232,General Short Term,NA,Nonprofit,Medium
404009,Not Critical Access,Non Teaching,Urban,Non Referral Center,61,Psychiatric,NA,Nonprofit,Small
450400,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,KY,Proprietary,Small
670107,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,General Short Term,TX,Proprietary,Small
713029,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,NA,Proprietary,Small
400018,Not Critical Access,Non Teaching,Urban,Non Referral Center,129,General Short Term,NA,Nonprofit,Small
440159,Not Critical Access,Non Teaching,Urban,Non Referral Center,10,General Short Term,TN,Proprietary,Small
21309,Critical Access,Non Teaching,Rural,Non Referral Center,18,General Short Term,AK,Governmental,Small
154059,Not Critical Access,Non Teaching,Urban,Non Referral Center,48,Psychiatric,KY,Proprietary,Small
154067,Not Critical Access,Non Teaching,Urban,Non Referral Center,112,Psychiatric,NA,Proprietary,Small
171375,Critical Access,Non Teaching,Rural,Non Referral Center,18,General Short Term,NA,Governmental,Small
180128,Not Critical Access,Non Teaching,Rural,Non Referral Center,65,General Short Term,TN,Proprietary,Small
250094,Not Critical Access,Teaching,Urban,Referral Center,121,General Short Term,TN,Proprietary,Small
251322,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MS,Nonprofit,Small
54150,NA,NA,NA,NA,NA,Psychiatric,NA,Proprietary,NA
70003,Not Critical Access,Non Teaching,Urban,Non Referral Center,104,General Short Term,NA,Nonprofit,Small
144035,Not Critical Access,Non Teaching,Urban,Non Referral Center,110,Psychiatric,IL,Nonprofit,Small
250007,Not Critical Access,Non Teaching,Urban,Non Referral Center,121,General Short Term,TN,Proprietary,Small
333301,NA,NA,NA,NA,NA,Children,NA,Proprietary,NA
450711,Not Critical Access,Non Teaching,Urban,Referral Center,295,General Short Term,TN,Proprietary,Medium
100045,Not Critical Access,Non Teaching,Rural,Non Referral Center,142,General Short Term,FL,Nonprofit,Small
224046,Not Critical Access,Non Teaching,Urban,Non Referral Center,114,Psychiatric,NA,Nonprofit,Small
362038,Not Critical Access,Teaching,Urban,Non Referral Center,40,General Long Term,OH,Proprietary,Small
450860,Not Critical Access,Non Teaching,Urban,Non Referral Center,6,General Short Term,NA,Proprietary,Small
141312,Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,NA,Nonprofit,Small
404007,Not Critical Access,Non Teaching,Urban,Non Referral Center,39,Psychiatric,NA,Proprietary,Small
130018,Not Critical Access,Teaching,Urban,Referral Center,233,General Short Term,TN,Proprietary,Medium
150150,Not Critical Access,Non Teaching,Urban,Non Referral Center,131,General Short Term,TN,Proprietary,Small
171360,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,NA,Governmental,Small
171377,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,KS,Governmental,Small
190274,Not Critical Access,Teaching,Urban,Non Referral Center,115,General Short Term,LA,Nonprofit,Small
231306,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Nonprofit,Small
280132,Not Critical Access,Non Teaching,Urban,Non Referral Center,69,General Short Term,NE,Proprietary,Small
291314,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,NA,Governmental,Small
294016,NA,NA,NA,NA,NA,General Short Term,NA,Nonprofit,NA
312024,Not Critical Access,Non Teaching,Urban,Non Referral Center,63,General Long Term,NA,Proprietary,Small
380007,Not Critical Access,Teaching,Urban,Non Referral Center,388,General Short Term,OR,Nonprofit,Medium
454134,Not Critical Access,Non Teaching,Urban,Non Referral Center,70,Psychiatric,TN,Proprietary,Small
110177,Not Critical Access,Teaching,Urban,Non Referral Center,291,General Short Term,TN,Proprietary,Medium
140184,Not Critical Access,Non Teaching,Urban,Non Referral Center,94,General Short Term,TN,Proprietary,Small
141303,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
171319,Critical Access,Non Teaching,Urban,Non Referral Center,14,General Short Term,NA,Governmental,Small
241367,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
380017,Not Critical Access,Teaching,Urban,Non Referral Center,177,General Short Term,OR,Nonprofit,Medium
380025,Not Critical Access,Non Teaching,Urban,Non Referral Center,99,General Short Term,OR,Nonprofit,Small
380029,Not Critical Access,Non Teaching,Urban,Non Referral Center,29,General Short Term,OR,Nonprofit,Small
380089,Not Critical Access,Non Teaching,Urban,Non Referral Center,110,General Short Term,OR,Nonprofit,Small
440029,Not Critical Access,Non Teaching,Urban,Non Referral Center,203,General Short Term,NA,Governmental,Medium
450775,Not Critical Access,Teaching,Urban,Non Referral Center,576,General Short Term,TN,Proprietary,Large
500150,Not Critical Access,Teaching,Urban,Non Referral Center,178,General Short Term,OR,Nonprofit,Medium
13029,Not Critical Access,Non Teaching,Urban,Non Referral Center,85,Rehabilitation,AL,Proprietary,Small
13033,Not Critical Access,Non Teaching,Urban,Non Referral Center,58,Rehabilitation,AL,Proprietary,Small
30030,Not Critical Access,Teaching,Rural,Referral Center,153,General Short Term,TX,Proprietary,Medium
33032,Not Critical Access,Non Teaching,Urban,Non Referral Center,75,Rehabilitation,AL,Proprietary,Small
34035,Not Critical Access,Non Teaching,Urban,Non Referral Center,32,Psychiatric,NA,Proprietary,Small
34036,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,Psychiatric,IN,Proprietary,Small
43028,Not Critical Access,Non Teaching,Urban,Non Referral Center,65,Rehabilitation,AL,Proprietary,Small
100122,Not Critical Access,Non Teaching,Urban,Non Referral Center,110,General Short Term,TN,Proprietary,Small
140043,Not Critical Access,Non Teaching,Rural,Referral Center,95,General Short Term,NA,Governmental,Small
141308,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,NA,Governmental,Small
141343,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
194115,Not Critical Access,Non Teaching,Urban,Non Referral Center,24,Psychiatric,NA,Proprietary,Small
230072,Not Critical Access,Non Teaching,Urban,Non Referral Center,189,General Short Term,NA,Nonprofit,Medium
231308,Critical Access,Non Teaching,Rural,Non Referral Center,11,General Short Term,NA,Nonprofit,Small
231312,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,NA,Nonprofit,Small
260137,Not Critical Access,Teaching,Rural,Referral Center,363,General Short Term,MO,Nonprofit,Medium
261331,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,MO,Nonprofit,Small
263028,Not Critical Access,Teaching,Urban,Non Referral Center,136,Rehabilitation,AL,Proprietary,Small
264031,Not Critical Access,Non Teaching,Rural,Non Referral Center,16,Psychiatric,NA,Proprietary,Small
320085,Not Critical Access,Teaching,Urban,Non Referral Center,166,General Short Term,TN,Proprietary,Medium
423028,Not Critical Access,Non Teaching,Urban,Non Referral Center,50,Rehabilitation,AL,Proprietary,Small
440030,Not Critical Access,Non Teaching,Urban,Non Referral Center,102,General Short Term,TN,Nonprofit,Small
443027,Not Critical Access,Non Teaching,Urban,Non Referral Center,50,Rehabilitation,AL,Proprietary,Small
443028,Not Critical Access,Non Teaching,Urban,Non Referral Center,80,Rehabilitation,AL,Proprietary,Small
443030,Not Critical Access,Non Teaching,Rural,Non Referral Center,40,Rehabilitation,AL,Proprietary,Small
443032,Not Critical Access,Non Teaching,Urban,Non Referral Center,50,Rehabilitation,AL,Proprietary,Small
453031,Not Critical Access,Non Teaching,Urban,Non Referral Center,108,Rehabilitation,AL,Proprietary,Small
670061,Not Critical Access,Non Teaching,Urban,Non Referral Center,33,General Short Term,TN,Proprietary,Small
30094,Not Critical Access,Teaching,Rural,Referral Center,270,General Short Term,TX,Proprietary,Medium
50782,Not Critical Access,Teaching,Urban,Non Referral Center,31,General Short Term,CA,Nonprofit,Small
52057,Not Critical Access,Non Teaching,Urban,Non Referral Center,37,General Long Term,NA,Proprietary,Small
143030,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,AL,Proprietary,Small
164007,Not Critical Access,Non Teaching,Urban,Non Referral Center,100,Psychiatric,PA,Proprietary,Small
170006,Not Critical Access,Non Teaching,Rural,Referral Center,64,General Short Term,KS,Nonprofit,Small
170142,Not Critical Access,Non Teaching,Rural,Referral Center,84,General Short Term,KS,Nonprofit,Small
190106,Not Critical Access,Non Teaching,Rural,Non Referral Center,37,General Short Term,LA,Proprietary,Small
230217,Not Critical Access,Non Teaching,Urban,Non Referral Center,78,General Short Term,NA,Nonprofit,Small
293035,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Rehabilitation,PA,Proprietary,Small
